id,efectiva_a,tipo_via,rel_ir_barrio,cant_trafos,estadocort,estrato,grupomedidor,tarifa,fases_med,personasxm2,rel_viv_casa,rel_viv_apto,rel_viv_cuarto,rel_viv_temp,rel_viv_recibo,pers_x_viv,relacion_personas_primaria,relacion_personas_secundaria,relacion_personas_superior,relacion_personas_postgrado,relacion_pers_ning_estudio,relacion_pers_0_9,relacion_pers_10_19,relacion_pers_20_29,relacion_pers_30_39,relacion_pers_40_49,relacion_pers_50_59,relacion_pers_60_69,relacion_pers_70_79,relacion_pers_80_mas,condicion
6526,NO,1,0.0016094420600858,57,1,1.0,C21C,1,1.0,0.0498448074176121,0.7903225806451613,0.1935483870967741,0.0161290322580645,0.1935483870967741,1.0,2.2580645161290325,0.3571428571428571,0.4357142857142857,0.1142857142857142,0.0,0.0071428571428571,0.1571428571428571,0.1285714285714285,0.2142857142857142,0.1285714285714285,0.1071428571428571,0.1142857142857142,0.1357142857142857,0.0142857142857142,0.0,5
7205,SI,1,0.0002977963073257,49,1,1.0,C22D,1,1.0,0.0388974953453175,0.3684210526315789,0.631578947368421,0.0,0.0526315789473684,1.0,2.8947368421052633,0.3272727272727272,0.4727272727272727,0.1636363636363636,0.0,0.0181818181818181,0.109090909090909,0.1636363636363636,0.2,0.2363636363636363,0.109090909090909,0.0727272727272727,0.0727272727272727,0.0,0.0363636363636363,0
4051,NO,1,0.0,80,1,5.0,B3PD,1,2.0,0.0306983225521914,0.0,1.0,0.0,0.0446428571428571,1.0,2.4196428571428568,0.1365313653136531,0.2509225092250922,0.4243542435424354,0.1549815498154981,0.0,0.070110701107011,0.1918819188191881,0.092250922509225,0.1033210332103321,0.1881918819188191,0.1586715867158671,0.099630996309963,0.07380073800738,0.022140221402214,9
4068,NO,1,0.0012406947890818,43,1,2.0,B3PD,1,2.0,0.0226151939736979,0.7333333333333333,0.2333333333333333,0.0333333333333333,0.0,1.0,2.7,0.3086419753086419,0.5061728395061728,0.1234567901234567,0.0,0.0123456790123456,0.0493827160493827,0.1481481481481481,0.1481481481481481,0.1851851851851851,0.0987654320987654,0.1604938271604938,0.1111111111111111,0.074074074074074,0.0246913580246913,5
5605,NO,1,0.0002985074626865,36,1,3.0,B3SK,1,2.0,0.0421016814801363,0.8552631578947368,0.1447368421052631,0.0,0.0789473684210526,1.0,2.8026315789473686,0.2488262910798122,0.5117370892018779,0.1784037558685446,0.0,0.0140845070422535,0.0938967136150234,0.136150234741784,0.1079812206572769,0.1408450704225352,0.1408450704225352,0.1690140845070422,0.1267605633802816,0.0469483568075117,0.0375586854460093,0
6532,NO,2,0.0,13,1,3.0,C21C,1,1.0,0.0522215446087133,0.2985074626865671,0.7014925373134328,0.0,0.0746268656716417,1.0,3.3582089552238807,0.2666666666666666,0.5288888888888889,0.1333333333333333,0.0088888888888888,0.0177777777777777,0.0933333333333333,0.12,0.1688888888888888,0.1333333333333333,0.1333333333333333,0.1822222222222222,0.0755555555555555,0.0533333333333333,0.04,0
6601,NO,2,0.0,36,1,2.0,C21C,1,1.0,0.0462426048149889,0.3333333333333333,0.6666666666666666,0.0,0.0476190476190476,1.0,4.047619047619048,0.2941176470588235,0.4705882352941176,0.1647058823529411,0.0,0.0,0.188235294117647,0.1294117647058823,0.2117647058823529,0.1411764705882352,0.0705882352941176,0.1647058823529411,0.0,0.0352941176470588,0.0588235294117647,0
6635,NO,1,0.0,20,1,1.0,C21C,1,1.0,0.0506439996991283,0.8260869565217391,0.0217391304347826,0.1521739130434782,0.0652173913043478,1.0,3.1739130434782608,0.1917808219178082,0.6438356164383561,0.0684931506849315,0.0,0.0205479452054794,0.1438356164383561,0.2123287671232876,0.1712328767123287,0.1712328767123287,0.1027397260273972,0.0958904109589041,0.0753424657534246,0.0136986301369863,0.0136986301369863,0
6696,NO,2,0.0022123893805309,36,1,1.0,C21I,1,1.0,0.0427045409018567,0.631578947368421,0.2982456140350877,0.0526315789473684,0.0,1.0,3.3859649122807016,0.3264248704663212,0.4922279792746113,0.0880829015544041,0.0103626943005181,0.0155440414507772,0.1658031088082901,0.1502590673575129,0.1295336787564766,0.2176165803108808,0.1243523316062176,0.0880829015544041,0.0621761658031088,0.0362694300518134,0.0259067357512953,0
7420,SI,1,0.0005453553899291,62,1,1.0,C22D,1,1.0,0.0383587451000801,0.631578947368421,0.3421052631578947,0.0263157894736842,0.0789473684210526,1.0,2.3947368421052633,0.3626373626373626,0.5054945054945054,0.0109890109890109,0.0,0.0329670329670329,0.1758241758241758,0.1318681318681318,0.1648351648351648,0.2417582417582417,0.0879120879120879,0.0989010989010989,0.0659340659340659,0.0329670329670329,0.0,0
6132,NO,2,0.001036403679233,91,4,5.0,B3SK,1,2.0,0.0292459352996281,0.6206896551724137,0.3103448275862068,0.0689655172413793,0.0689655172413793,1.0,2.586206896551724,0.1066666666666666,0.36,0.48,0.0533333333333333,0.0,0.0133333333333333,0.1333333333333333,0.2666666666666666,0.08,0.16,0.2133333333333333,0.08,0.0266666666666666,0.0266666666666666,0
4050,NO,1,0.0,80,1,5.0,B3PD,1,2.0,0.0306983225521914,0.0,1.0,0.0,0.0446428571428571,1.0,2.4196428571428568,0.1365313653136531,0.2509225092250922,0.4243542435424354,0.1549815498154981,0.0,0.070110701107011,0.1918819188191881,0.092250922509225,0.1033210332103321,0.1881918819188191,0.1586715867158671,0.099630996309963,0.07380073800738,0.022140221402214,9
645,NO,2,0.0060975609756097,71,1,4.0,U4EW,19,3.0,0.0056779868217484,0.2888888888888888,0.6,0.1111111111111111,0.1555555555555555,1.0,1.4444444444444444,0.0615384615384615,0.3076923076923076,0.4307692307692307,0.1692307692307692,0.0153846153846153,0.0307692307692307,0.0307692307692307,0.123076923076923,0.1384615384615384,0.1692307692307692,0.2,0.1692307692307692,0.0615384615384615,0.0769230769230769,0
371,NO,1,0.0007423904974016,47,1,4.0,U43W,19,3.0,0.0213910708910006,0.0060975609756097,0.9878048780487804,0.0060975609756097,0.0426829268292682,0.9934640522875816,2.274390243902439,0.1045576407506702,0.1689008042895442,0.5013404825737265,0.1528150134048257,0.0053619302949061,0.0643431635388739,0.0804289544235924,0.1689008042895442,0.1340482573726541,0.1501340482573726,0.1206434316353887,0.1394101876675603,0.0884718498659517,0.0536193029490616,0
6441,NO,2,0.0,36,1,2.0,C21C,1,1.0,0.03719501062154,0.3333333333333333,0.6491228070175438,0.0175438596491228,0.0,1.0,3.2280701754385963,0.2663043478260869,0.5108695652173914,0.1630434782608695,0.0,0.0108695652173913,0.0815217391304347,0.1902173913043478,0.1141304347826086,0.1739130434782608,0.1032608695652173,0.1521739130434782,0.0978260869565217,0.0597826086956521,0.0271739130434782,0
622,NO,1,0.0004096681687832,66,1,9.0,U4AW,19,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
7200,NO,2,0.000419199329281,31,5,1.0,C22D,1,1.0,0.0610658012891207,0.1851851851851851,0.7777777777777777,0.037037037037037,0.0,1.0,2.592592592592593,0.2285714285714285,0.6428571428571428,0.0428571428571428,0.0,0.0142857142857142,0.1142857142857142,0.1857142857142857,0.1428571428571428,0.2,0.0857142857142857,0.1142857142857142,0.1142857142857142,0.0285714285714285,0.0142857142857142,5
4459,NO,2,0.0010346611484738,63,1,1.0,B3PL,1,2.0,0.0350310123450006,0.5205479452054794,0.4657534246575342,0.0136986301369863,0.0273972602739726,1.0,1.9863013698630136,0.3310344827586206,0.4551724137931034,0.096551724137931,0.0068965517241379,0.0344827586206896,0.1448275862068965,0.2,0.193103448275862,0.193103448275862,0.1172413793103448,0.0482758620689655,0.0758620689655172,0.0206896551724137,0.0068965517241379,0
1329,SI,0,0.0162616822429906,72,1,5.0,C2PD,1,1.0,0.0230956024056671,0.2037037037037037,0.7777777777777777,0.0185185185185185,0.2777777777777777,1.0,1.8888888888888888,0.3137254901960784,0.4607843137254901,0.088235294117647,0.0,0.0294117647058823,0.196078431372549,0.1078431372549019,0.2058823529411764,0.1470588235294117,0.1372549019607843,0.088235294117647,0.0588235294117647,0.0294117647058823,0.0294117647058823,5
6439,NO,1,0.0002384927259718,43,1,1.0,C21B,1,1.0,0.0826998299156379,0.35,0.5166666666666666,0.1333333333333333,0.0,1.0,3.1,0.3279569892473118,0.4677419354838709,0.0483870967741935,0.0,0.0591397849462365,0.1774193548387096,0.1935483870967741,0.2043010752688172,0.1075268817204301,0.1559139784946236,0.0913978494623655,0.032258064516129,0.032258064516129,0.0053763440860215,0
2764,NO,3,0.0001607200257152,78,1,2.0,B3NK,1,2.0,0.0006750659561727,0.6,0.36,0.04,0.12,1.0,2.16,0.1851851851851851,0.3333333333333333,0.2037037037037037,0.0,0.074074074074074,0.037037037037037,0.1111111111111111,0.0925925925925925,0.1481481481481481,0.2222222222222222,0.0555555555555555,0.1296296296296296,0.1296296296296296,0.074074074074074,0
370,NO,2,0.0007423904974016,47,1,4.0,U4EW,19,3.0,0.0197298424307231,0.1327433628318584,0.8584070796460176,0.0088495575221238,0.0132743362831858,0.9860465116279068,2.2920353982300883,0.0945945945945945,0.2239382239382239,0.5115830115830114,0.1138996138996138,0.0154440154440154,0.0579150579150579,0.0945945945945945,0.1505791505791505,0.1293436293436293,0.1235521235521235,0.1351351351351351,0.1602316602316602,0.0791505791505791,0.0694980694980694,9
6543,NO,2,0.0006997900629811,59,1,2.0,C21C,1,1.0,0.04167075444577,0.3777777777777777,0.5777777777777777,0.0444444444444444,0.0,1.0,3.2444444444444445,0.3835616438356164,0.4041095890410958,0.1438356164383561,0.0136986301369863,0.0205479452054794,0.0958904109589041,0.1575342465753424,0.1643835616438356,0.1506849315068493,0.1232876712328767,0.1301369863013698,0.0616438356164383,0.0616438356164383,0.0547945205479452,0
42,SI,1,0.0007135212272565,26,1,2.0,R4AB,1,3.0,0.0114974670123642,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.0,1.0,4.428571428571429,0.4838709677419354,0.3225806451612903,0.0,0.0,0.032258064516129,0.3225806451612903,0.1290322580645161,0.1612903225806451,0.064516129032258,0.1612903225806451,0.096774193548387,0.0,0.064516129032258,0.0,0
6159,NO,2,0.0008771929824561,49,1,5.0,B3SK,2,2.0,0.0131249981084762,0.9523809523809524,0.0476190476190476,0.0,0.1904761904761904,1.0,1.9523809523809523,0.024390243902439,0.3902439024390243,0.4146341463414634,0.1463414634146341,0.024390243902439,0.0,0.073170731707317,0.1219512195121951,0.097560975609756,0.073170731707317,0.1219512195121951,0.3414634146341463,0.097560975609756,0.073170731707317,0
4097,NO,2,0.0004247787610619,151,1,5.0,B3PD,1,2.0,0.0297983821636936,0.6830985915492958,0.3169014084507042,0.0,0.0915492957746478,1.0,2.8380281690140845,0.119106699751861,0.2704714640198511,0.3995037220843672,0.1265508684863523,0.0049627791563275,0.1265508684863523,0.1588089330024813,0.1861042183622828,0.1563275434243176,0.1389578163771712,0.1091811414392059,0.0818858560794044,0.0347394540942928,0.0074441687344913,8
3708,NO,2,0.001036403679233,91,5,4.0,B3PD,1,2.0,0.0230774408848049,0.96875,0.03125,0.0,0.0,1.0,2.75,0.1022727272727272,0.2159090909090909,0.5,0.0795454545454545,0.0454545454545454,0.1022727272727272,0.1022727272727272,0.1818181818181818,0.125,0.1136363636363636,0.2159090909090909,0.0909090909090909,0.0454545454545454,0.0227272727272727,0
6703,NO,2,0.0,58,5,3.0,C22A,1,1.0,0.0165852512527537,0.5505050505050505,0.404040404040404,0.0404040404040404,0.0,1.0,2.914141414141414,0.1819757365684575,0.4419410745233968,0.2946273830155979,0.0190641247833622,0.0086655112651646,0.0831889081455805,0.1247833622183708,0.1230502599653379,0.1421143847487001,0.1421143847487001,0.1646447140381282,0.1126516464471403,0.07105719237435,0.0363951473136915,0
6807,NO,2,0.0004796738218011,69,1,1.0,C22A,1,1.0,0.054111881001994,0.3582089552238805,0.5373134328358208,0.1044776119402985,0.0746268656716417,1.0,2.8059701492537314,0.2925531914893617,0.4680851063829787,0.1436170212765957,0.0053191489361702,0.026595744680851,0.1117021276595744,0.1808510638297872,0.1861702127659574,0.1382978723404255,0.1489361702127659,0.101063829787234,0.0851063829787234,0.0372340425531914,0.0106382978723404,0
6546,NO,1,0.0005272871078302,83,1,1.0,C21C,1,1.0,0.0719902487707973,0.4886363636363636,0.5056818181818181,0.0056818181818181,0.1022727272727272,0.993103448275862,2.625,0.2424242424242424,0.567099567099567,0.0974025974025974,0.0,0.0194805194805194,0.1363636363636363,0.1515151515151515,0.2207792207792207,0.1731601731601731,0.0995670995670995,0.1363636363636363,0.0541125541125541,0.0173160173160173,0.0108225108225108,0
6568,NO,2,0.0005367686527106,28,1,3.0,C21C,1,1.0,0.056171922845381,0.3218390804597701,0.6781609195402298,0.0,0.0229885057471264,1.0,2.735632183908046,0.1554621848739495,0.3655462184873949,0.3403361344537815,0.0588235294117647,0.0126050420168067,0.1092436974789915,0.0756302521008403,0.1680672268907563,0.180672268907563,0.1218487394957983,0.1218487394957983,0.1134453781512605,0.0924369747899159,0.0168067226890756,0
4826,NO,2,0.0040595399188092,76,5,1.0,B3SK,2,2.0,0.0414835905987305,0.6046511627906976,0.2093023255813953,0.1860465116279069,0.0930232558139534,1.0,2.1860465116279073,0.4361702127659574,0.3723404255319148,0.0425531914893617,0.0106382978723404,0.0425531914893617,0.1595744680851063,0.2234042553191489,0.1702127659574468,0.0957446808510638,0.0957446808510638,0.1382978723404255,0.0638297872340425,0.0319148936170212,0.0212765957446808,9
4298,NO,1,0.0032509752925877,179,1,9.0,B3PF,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
